# token,w_level
खोटा,2
बुरा,1
खरा,2
विशुद्ध,3
खड़ा,1
अनुसार,1
अड़चन,2
रुकावट,1
प्रतिबंध,2
मनाही,1
सीमा,1
बाड़ा,1
भार,1
भाव(२),1
भावार्थ,1
भाँप,1
भेद(२),1
भेदिया,1
भूमिका,2
भिक्षा,1
भिक्षु,1
भिक्षुक,2
भय,1
भटकना,1
भड़काना,1
उकसाना,1
भव्य,1
शानदार,1
मैला,1
मटमैली,2
महात्मा,1
मनोदशा,2
मंच,1
मोहलत,2
मांसाहारी,2
मूल,2
जड़,1
मंडप,1
यन्त्र,2
रूप,2
रूप(२),2
राय,2
विचार,2
मत,2
रोग,1
रचना,2
रचित,2
रूखड़ा,2
रणक्षेत्र,3
रजत,2
चांदी,1
लय,2
लक्षण,1
लालन-पालन,1
लगाम,1
लगाम(२),1
विदा,1
जुदाई,2
विदाई,1
विशेष,2
विशेषता,2
विशेषज्ञ,3
बैचेन,1
बेहया,2
विकल्प,3
वस्त्र,1
विरला,3
व्यक्त,2
व्यक्तित्व,3
व्यायाम,1
व्याकुल,2
व्यय,2
वृद्धि,1
वृद्ध,1
वार्तालाप,2
वार्ता,2
वास्तव,1
वास्तविक,1
वार,1
विस्मय,2
विपरीत,1
सामान्य,2
समेत,1
सहित,1
स्वर्ण,1
सन्देश,1
समर्थ,2
साझा,1
सदैव,2
समानार्थी,2
सम्बोधित,2
सर्वाधिक,3
सटीक,2
सुनसान,1
निर्जन,3
वीरान,2
खाली,1
सतर्क,2
सरासर,2
बिलकुल,1
सम्मलेन,2
सम्मिलित,2
शामिल,2
मिला-हुआ,1
संभव,2
संस्कार,2
स्थित,2
स्थानीय,2
संगम,2
समुदाय,2
स्रोत,3
सहना,1
सहसा,2
एकाएक,1
अकस्मात्,2
सहपाठी,1
सहकर्मी,2
सुहाना,1
सुहावना,2
सखा,1
संग,1
शुद्ध,1
शीर्ष,2
शीघ्र,2
तुरंत,1
जल्दी,1
बिलंब,3
देर,1
शीतल,1
शिक्षा,1
शिष्ट,1
शिष्टाचार,2
शिष्य,1
शैक्षणिक,2
शर्मिंदा,2
हठ,1
ज़िद,1
हार्दिक,2
श्रम,1
श्रमिक,2
मजदूर,1
क्षमा,1
माफ़ी,1
क्षमायाचना,2
क्षण,2
पल,2
लम्हा,3
ज्ञात,2
अवसर(२),2
बिछोह,2
बैरागी,2
मुखातिब,2
लयात्मकता,3
विद्यमान,3
